id,來源,統計月份,日期,台北業績,台北佔比,台中業績,台中佔比,桃園業績,桃園佔比,新竹業績,新竹佔比,高雄業績,高雄佔比,全區合計
20260514120939_次月,schedule,2026/06,2026/05/14 12:09:39,1078200,0.6292090243817038,126600,0.073880414103806,355890,0.2076879982259363,149130,0.0870283266611421,3760,0.0021942366274116,1713580
20260514021746_次月,schedule,2026/06,2026/05/14 02:17:46,1073400,0.6343296812395844,126600,0.0748147360209906,339290,0.2005046744436171,149130,0.0881289224550579,3760,0.0022219858407498,1692180
20260513202134_次月,schedule,2026/06,2026/05/13 20:21:34,1073400,0.6343296812395844,126600,0.0748147360209906,339290,0.2005046744436171,149130,0.0881289224550579,3760,0.0022219858407498,1692180
20260513120951_次月,schedule,2026/06,2026/05/13 12:09:51,1008600,0.6305405168856825,126600,0.0791457757661386,311490,0.1947323672464022,149130,0.0932307230648045,3760,0.0023506170369722,1599580
20260513021901_次月,schedule,2026/06,2026/05/13 02:19:01,906600,0.6157377850826553,114600,0.0778331680680259,298290,0.2025903639006235,149130,0.1012849943628682,3760,0.002553688585827,1472380
20260512200851_次月,schedule,2026/06,2026/05/12 20:08:51,906600,0.6157377850826553,114600,0.0778331680680259,298290,0.2025903639006235,149130,0.1012849943628682,3760,0.002553688585827,1472380
20260512120201_次月,schedule,2026/06,2026/05/12 12:02:01,906600,0.631433785120283,110400,0.0768920029530986,267090,0.1860243212748471,147930,0.1030311050439482,3760,0.0026187856078229,1435780
20260512020610_次月,schedule,2026/06,2026/05/12 02:06:10,899400,0.6452955272711619,110400,0.0792090573835182,232290,0.1666618835110275,147930,0.1061358320538392,3760,0.0026976997804531,1393780
20260511204939_次月,schedule,2026/06,2026/05/11 20:49:39,899400,0.6452955272711619,110400,0.0792090573835182,232290,0.1666618835110275,147930,0.1061358320538392,3760,0.0026976997804531,1393780
20260511122009_次月,schedule,2026/06,2026/05/11 12:20:09,858600,0.6810177987880326,98400,0.0780481614264411,170400,0.1351565722262762,129600,0.102795139439703,3760,0.0029823281195469,1260760
20260511011407_次月,schedule,2026/06,2026/05/11 01:14:07,851400,0.7502908103916247,90000,0.0793119249885438,99600,0.0877718636539885,90000,0.0793119249885438,3760,0.0033134759772991,1134760
20260510191129_次月,schedule,2026/06,2026/05/10 19:11:29,851400,0.7502908103916247,90000,0.0793119249885438,99600,0.0877718636539885,90000,0.0793119249885438,3760,0.0033134759772991,1134760
20260510120938_次月,schedule,2026/06,2026/05/10 12:09:38,851400,0.7502908103916247,90000,0.0793119249885438,99600,0.0877718636539885,90000,0.0793119249885438,3760,0.0033134759772991,1134760
20260510011411_次月,schedule,2026/06,2026/05/10 01:14:11,851400,0.7502908103916247,90000,0.0793119249885438,99600,0.0877718636539885,90000,0.0793119249885438,3760,0.0033134759772991,1134760
20260509191021_次月,schedule,2026/06,2026/05/09 19:10:21,851400,0.7502908103916247,90000,0.0793119249885438,99600,0.0877718636539885,90000,0.0793119249885438,3760,0.0033134759772991,1134760
20260509115142_次月,schedule,2026/06,2026/05/09 11:51:42,851400,0.752678666148025,86400,0.0763817673892287,99600,0.0880512040736942,90000,0.0795643410304466,3760,0.0033240213586053,1131160
20260509014515_次月,schedule,2026/06,2026/05/09 01:45:15,851400,0.7558862175503391,81600,0.0724457544657125,99600,0.088426435597855,90000,0.0799034056607123,3760,0.0033381867253808,1126360
20260508194314_次月,schedule,2026/06,2026/05/08 19:43:14,851400,0.7640259880110557,69600,0.0624573746365626,99600,0.0893786568074948,90000,0.0807638465127965,3760,0.0033741340320901,1114360
20260508115010_次月,schedule,2026/06,2026/05/08 11:50:10,851400,0.8521157772528924,9600,0.0096080707794547,56400,0.0564474158292966,78000,0.0780655750830697,3760,0.0037631610552864,999160
20260508015907_次月,schedule,2026/06,2026/05/08 01:59:07,855000,0.9751813495141202,0,0.0,0,0.0,18000,0.0205301336739814,3760,0.0042885168118983,876760
20260507200234_次月,schedule,2026/06,2026/05/07 20:02:34,855000,0.9751813495141202,0,0.0,0,0.0,18000,0.0205301336739814,3760,0.0042885168118983,876760
20260507115942_次月,schedule,2026/06,2026/05/07 11:59:42,855000,0.995621593926126,0,0.0,0,0.0,0,0.0,3760,0.0043784060738739,858760
20260507015319_次月,schedule,2026/06,2026/05/07 01:53:19,858600,0.9956398719792198,0,0.0,0,0.0,0,0.0,3760,0.0043601280207801,862360
20260506200347_次月,schedule,2026/06,2026/05/06 20:03:47,365400,0.9898147144869434,0,0.0,0,0.0,0,0.0,3760,0.0101852855130566,369160
20260506120005884246_次月,schedule,2026/06,2026/05/06 12:00:05,0,0.0,0,0.0,0,0.0,0,0.0,3760,1.0,3760
20260506015129022273_次月,schedule,2026/06,2026/05/06 01:51:29,0,0.0,0,0.0,0,0.0,0,0.0,3760,1.0,3760
20260505193721079193_次月,schedule,2026/06,2026/05/05 19:37:21,0,0.0,0,0.0,0,0.0,0,0.0,3760,1.0,3760
20260505114529260455_次月,schedule,2026/06,2026/05/05 11:45:29,0,0.0,0,0.0,0,0.0,0,0.0,3760,1.0,3760
20260505015238616622_次月,schedule,2026/06,2026/05/05 01:52:38,0,0.0,0,0.0,0,0.0,0,0.0,3760,1.0,3760
